"","mu_per_read","mu_per_position","q01_per_position","q25_per_position","q50_per_position","q75_per_position","q99_per_position"
"519",40.53,40.4644968051118,27,41,41,41,41
"520",37.7,40.4481230031949,27,41,41,41,41
"521",40.29,40.4468450479233,27,41,41,41,41
"522",40.54,40.3859424920128,27,41,41,41,41
"523",40.5,40.368250798722,27,41,41,41,41
"524",40.66,40.3275559105431,27,41,41,41,41
"525",40.61,40.3605431309904,27,41,41,41,41
"526",40.66,40.4117012779553,27,41,41,41,41
"527",40.66,40.3906948881789,27,41,41,41,41
"528",40.31,40.3204073482428,22,41,41,41,41
"529",40.7,40.3420926517572,22,41,41,41,41
"530",26.24,40.3099440894569,22,41,41,41,41
"531",40.16,40.2799920127796,22,41,41,41,41
"532",40.7,40.3089057507987,22,41,41,41,41
"533",31.98,40.3916932907348,27,41,41,41,41
"534",40.61,40.3528354632588,27,41,41,41,41
"535",40.66,40.3799121405751,27,41,41,41,41
"536",40.58,40.3990015974441,27,41,41,41,41
"537",40.66,40.4053363157054,27,41,41,41,41
"538",37.26,40.4327368589231,27,41,41,41,41
"539",40.27,40.389696485623,27,41,41,41,41
"540",40.37,40.2516775842786,22,41,41,41,41
"541",40.66,40.3059504792332,27,41,41,41,41
"542",40.7,40.3015575079872,22,41,41,41,41
"543",40.7,40.3447284345048,27,41,41,41,41
"544",40.27,40.2842651757189,22,41,41,41,41
"545",40.26,40.2977635782748,22,41,41,41,41
"546",35.83,40.2476837060703,22,41,41,41,41
"547",40.7,40.2776757188498,22,41,41,41,41
"548",40.09,40.3194089456869,22,41,41,41,41
"549",40.66,40.2964131650423,22,41,41,41,41
